"Discipline","Journal","Author position","Age","Standardised IF","n useable papers","n authors","Gender ratio of sample","Observed alpha","Lower 95 CI","Upper 95 CI","Alpha adjusted","Lower 95 CI","Upper 95 CI","Unadjusted p value","Adjusted p value"
"Pharmacology","J Ethnopharmacol","All authors","New",0.043,110,544,45.772,0.11,0.045,0.175,0.112,0.048,0.181,0,0
"Multidisciplinary","J R Soc Interface","All authors","New",0.251,110,441,24.036,0.096,-0.007,0.13,0.101,0.003,0.138,0.016,0.043
"Cell Biology","Mol Cell","All authors","New",0.595,110,483,34.783,0.087,0.036,0.154,0.09,0.034,0.155,0.026,0.062
"Pediatrics","Paediatr Anaesth","All authors","New",NA,110,473,39.535,0.12,0.036,0.183,0.122,0.038,0.188,0.001,0.004
"Physiology","Plant Physiol Biochem","All authors","New",0.07,110,552,47.283,0.081,0.021,0.152,0.084,0.025,0.151,0.01,0.029
"Botany","Plant Signal Behav","All authors","New",NA,110,400,40,0.063,-0.039,0.126,0.064,-0.034,0.128,0.182,0.28
"Ethics","Am J Bioeth","All authors","New",0.562,109,327,43.731,0.2,0.052,0.236,0.203,0.054,0.241,0.001,0.004
"Anthropology","Am J Phys Anthropol","All authors","New",-0.006,109,428,52.336,0.083,-0.044,0.088,0.087,-0.037,0.088,0.051,0.104
"Nutritional Sciences","Appl Physiol Nutr Metab","All authors","New",-0.098,109,524,40.267,0.227,0.128,0.27,0.229,0.128,0.265,0,0
"Unclassified","Atten Percept Psychophys","All authors","New",-0.023,109,316,38.924,0.01,-0.084,0.114,0.016,-0.069,0.118,0.861,0.906
"Medicine","Br J Hosp Med (Lond)","All authors","New",-0.831,109,329,27.052,-0.085,-0.161,0.001,-0.082,-0.154,0.005,0.134,0.22
"Pharmacology","Drug Discov Today","All authors","New",0.308,109,401,28.928,0.133,0.015,0.203,0.136,0.012,0.208,0.005,0.017
"Gynecology","Ginekol Pol","All authors","New",-0.51,109,580,49.31,0.048,0.013,0.155,0.051,0.018,0.151,0.109,0.187
"Biology","Nat Prod Res","All authors","New",-0.332,109,553,46.835,0.113,0.036,0.186,0.115,0.04,0.187,0,0
"Gastroenterology","Rev Esp Enferm Dig","All authors","New",-0.288,109,590,43.22,0.04,-0.019,0.08,0.042,-0.018,0.085,0.168,0.264
"Gynecology","Acta Obstet Gynecol Scand","All authors","New",0.046,108,523,56.023,0.059,-0.014,0.099,0.062,-0.009,0.111,0.082,0.151
"Toxicology","Aquat Toxicol","All authors","New",0.163,108,527,44.402,0.027,-0.021,0.119,0.03,-0.018,0.117,0.373,0.482
"Geriatrics","BMC Geriatr","All authors","New",-0.007,108,621,56.039,0.038,-0.014,0.07,0.039,-0.01,0.078,0.145,0.234
"Public Health","Eur J Public Health","All authors","New",0.141,108,531,53.296,0.023,-0.045,0.058,0.026,-0.04,0.065,0.469,0.571
"Medicine","Evid Based Complement Alternat Med","All authors","New",NA,108,632,48.576,0.081,0.025,0.124,0.083,0.024,0.123,0.004,0.014
"Neurology","J Comp Neurol","All authors","New",0.098,108,494,38.664,0.083,0.023,0.149,0.085,0.024,0.159,0.018,0.047
"Molecular Biology","Mol Biol Evol","All authors","New",0.623,108,522,32.184,0.053,-0.017,0.082,0.056,-0.013,0.082,0.097,0.171
"Medicine","Ned Tijdschr Geneeskd","All authors","New",NA,108,343,48.105,0.053,-0.061,0.125,0.056,-0.063,0.126,0.334,0.444
"Neurology","Neurobiol Aging","All authors","New",0.287,108,756,46.429,0.059,0.017,0.098,0.061,0.021,0.099,0.005,0.017
"Ophthalmology","Ophthal Plast Reconstr Surg","All authors","New",NA,108,393,31.807,0.033,-0.021,0.14,0.034,-0.015,0.138,0.484,0.586
"Neurology","Acta Neurol Belg","All authors","New",-0.25,107,479,32.15,0.104,0.056,0.209,0.106,0.067,0.211,0.002,0.008
"Cardiology","Arq Bras Cardiol","All authors","New",-0.289,107,554,33.394,0.12,0.073,0.185,0.122,0.067,0.187,0,0
"Primary Health Care","BMC Fam Pract","All authors","New",0.004,107,554,58.123,0.085,0.02,0.145,0.087,0.019,0.144,0.001,0.004
"Dermatology","Contact Derm","All authors","New",NA,107,436,48.624,0.09,0.002,0.147,0.094,0.006,0.143,0.031,0.072
"Toxicology","Ecotoxicol Environ Saf","All authors","New",NA,107,514,48.054,0.157,0.085,0.224,0.161,0.082,0.225,0,0
"General Surgery","J Am Coll Surg","All authors","New",0.443,107,588,35.034,0.18,0.098,0.248,0.182,0.104,0.246,0,0
"Nephrology","J Am Soc Nephrol","All authors","New",0.562,107,730,37.397,0.075,0.018,0.113,0.078,0.022,0.114,0,0
"Dentistry","J Prosthet Dent","All authors","New",NA,107,437,29.291,0.113,0.003,0.174,0.116,0.009,0.178,0.002,0.008
"Biology","PLoS Biol","All authors","New",0.582,107,497,34.809,0.04,-0.026,0.075,0.047,-0.025,0.08,0.253,0.359
"Unclassified","Patient Prefer Adherence","All authors","New",NA,107,581,52.496,0.05,-0.008,0.107,0.051,-0.007,0.104,0.088,0.159
"Pediatrics","Pediatr Neurol","All authors","New",0.088,107,473,46.3,0.016,-0.051,0.055,0.018,-0.046,0.06,0.663,0.745
"Neurology","Soc Cogn Affect Neurosci","All authors","New",0.283,107,536,43.47,-0.032,-0.058,0.027,-0.031,-0.055,0.024,0.323,0.433
"Urology","Urol Case Rep","All authors","New",NA,107,467,20.128,0.107,0.002,0.208,0.111,0.012,0.228,0.003,0.011
"Epidemiology","Am J Epidemiol","All authors","New",0.196,106,484,46.694,0.108,0.058,0.193,0.111,0.059,0.197,0.004,0.014
"Medicine","Ann Biomed Eng","All authors","New",0.156,106,521,27.063,0.073,0.006,0.14,0.077,0.013,0.149,0.028,0.066
"Anesthesiology","Eur J Anaesthesiol","All authors","New",NA,106,520,29.615,0.077,0.048,0.181,0.078,0.048,0.184,0.017,0.045
"Endocrinology","Eur J Endocrinol","All authors","New",0.097,106,690,44.928,-0.004,-0.034,0.026,-0.003,-0.032,0.028,0.84,0.89
"Genetics","Genome Biol","All authors","New",0.572,106,465,28.817,0.056,-0.007,0.112,0.058,-0.01,0.114,0.144,0.233
"Physiology","Int J Sports Physiol Perform","All authors","New",NA,106,464,17.457,0.108,0.033,0.157,0.112,0.03,0.163,0.002,0.008
"Allergy and Immunology","J Leukoc Biol","All authors","New",0.117,106,524,42.366,0.044,-0.008,0.09,0.046,-0.008,0.089,0.194,0.293
"Pulmonary Medicine","Respirology","All authors","New",0.081,106,580,41.207,0.069,0.036,0.139,0.072,0.04,0.148,0.019,0.049
"Pharmacology","Am J Pharm Educ","All authors","New",-0.364,105,372,62.634,0.159,0.082,0.262,0.163,0.08,0.27,0,0
"Medicine","Card Electrophysiol Clin","All authors","New",NA,105,279,16.129,-0.032,-0.063,0.122,-0.025,-0.047,0.129,0.659,0.741
"Chemistry","Clin Chem","All authors","New",0.301,105,450,35.556,0.064,0.018,0.15,0.067,0.027,0.145,0.105,0.182
"Nutritional Sciences","Food Addit Contam Part A Chem Anal Control Expo Risk Assess","All authors","New",NA,105,507,49.507,0.122,0.059,0.194,0.124,0.063,0.197,0,0
"Otolaryngology","JAMA Otolaryngol Head Neck Surg","All authors","New",NA,105,397,29.471,0.097,0.007,0.161,0.101,0.008,0.17,0.026,0.062
"Midwifery","Midwifery","All authors","New",-0.074,105,423,80.378,0.021,-0.03,0.085,0.026,-0.026,0.085,0.607,0.698
"Cardiology","Pacing Clin Electrophysiol","All authors","New",NA,105,596,19.966,0.105,0.039,0.18,0.107,0.046,0.18,0.002,0.008
"Pharmacology","Acta Pol Pharm","All authors","New",-0.499,104,482,56.846,0.109,0.024,0.183,0.109,0.025,0.18,0,0
"Botany","Am J Bot","All authors","New",-0.144,104,375,42.933,0.066,-0.013,0.156,0.066,-0.012,0.161,0.177,0.274
"Psychiatry","Aust N Z J Psychiatry","All authors","New",NA,104,431,41.067,0.034,-0.03,0.101,0.038,-0.027,0.105,0.43,0.536
"Pediatrics","BMC Pediatr","All authors","New",0.076,104,571,57.268,0.129,0.038,0.157,0.131,0.04,0.162,0.001,0.004
"Biotechnology","Biotechnol Bioeng","All authors","New",0.191,104,473,31.712,0.026,-0.045,0.054,0.03,-0.041,0.061,0.467,0.569
"Medicine","Clin Biomech (Bristol Avon)","All authors","New",NA,104,496,28.831,0.061,0.013,0.163,0.065,0.017,0.175,0.07,0.134
"Medicine","Clin Med (Lond)","All authors","New",NA,104,330,42.424,0.105,-0.038,0.163,0.113,-0.02,0.174,0.061,0.119
"Dentistry","Dent Mater","All authors","New",0.407,104,524,32.634,0.141,0.072,0.189,0.145,0.071,0.189,0,0
"Cell Biology","FASEB J","All authors","New",NA,104,696,43.534,0.097,0.036,0.125,0.1,0.037,0.13,0,0
"Nanotechnology","Int J Nanomedicine","All authors","New",0.022,104,578,41.176,0.073,0.021,0.128,0.076,0.024,0.127,0.008,0.024
"Psychology","Int Psychogeriatr","All authors","New",-0.133,104,487,53.183,0.05,-0.003,0.111,0.054,0.002,0.11,0.17,0.266
"Public Health","Iran J Public Health","All authors","New",NA,104,444,35.586,0.13,0.047,0.231,0.131,0.047,0.241,0.002,0.008
"Chemistry Techniques, Analytical","J Am Soc Mass Spectrom","All authors","New",0.151,104,487,27.926,0.064,-0.018,0.1,0.065,-0.013,0.1,0.075,0.141
"Obstetrics","Prenat Diagn","All authors","New",0.134,104,608,60.526,0.074,0.014,0.142,0.075,0.018,0.143,0.007,0.022
"Biochemistry","Amino Acids","All authors","New",0.012,103,540,39.444,0.104,0.019,0.138,0.107,0.024,0.141,0.001,0.004
"Multidisciplinary","An Acad Bras Cienc","All authors","New",-0.475,103,493,48.276,0.157,0.084,0.233,0.156,0.087,0.23,0,0
"Medicine","Ann Agric Environ Med","All authors","New",NA,103,517,47.389,0.053,0.01,0.147,0.054,0.009,0.149,0.076,0.143
"Medicine","BMC Complement Altern Med","All authors","New",-0.007,103,494,37.449,0.076,0.014,0.115,0.079,0.009,0.117,0.027,0.064
"Ophthalmology","Br J Ophthalmol","All authors","New",0.181,103,541,32.717,0.068,-0.009,0.11,0.072,-0.01,0.107,0.025,0.06
"Medicine","Emerg Med","All authors","New",NA,103,427,31.85,0.064,0.021,0.171,0.07,0.031,0.179,0.128,0.212
"Medicine","Int J Legal Med","All authors","New",0.152,103,505,42.376,0.032,-0.009,0.118,0.034,-0.012,0.114,0.344,0.454
"Unclassified","J Diabetes Complicat","All authors","New",NA,103,552,40.942,0.098,0.04,0.161,0.101,0.038,0.158,0.004,0.014
"Endocrinology","J Diabetes Res","All authors","New",-0.108,103,576,44.618,0.093,0.033,0.157,0.093,0.032,0.163,0.001,0.004
"General Surgery","J Surg Educ","All authors","New",0.103,103,504,33.929,0.069,-0.004,0.168,0.073,-0.002,0.163,0.032,0.074
"Psychiatry","Psychiatr Danub","All authors","New",-0.173,103,460,46.957,0.06,0.017,0.155,0.061,0.019,0.145,0.104,0.18
"Orthopedics","Am J Orthop","All authors","New",NA,102,383,10.705,0.105,0.015,0.171,0.11,0.023,0.183,0.019,0.049
"Primary Health Care","Aust Fam Physician","All authors","New",-0.331,102,347,52.45,0.151,0.027,0.212,0.151,0.034,0.208,0.003,0.011
"Dermatology","Cutis","All authors","New",-0.333,102,353,54.391,0.023,-0.065,0.104,0.026,-0.06,0.105,0.612,0.702
"Zoology","Environ Entomol","All authors","New",-0.161,102,371,33.962,0.082,-0.02,0.132,0.088,-0.021,0.133,0.108,0.186
"Environmental Health","Environ Int","All authors","New",0.369,102,558,48.208,0.129,0.039,0.14,0.129,0.037,0.139,0,0
"Orthopedics","Foot Ankle Int","All authors","New",0.018,102,457,17.943,0.068,0.002,0.15,0.072,0.006,0.155,0.069,0.132
"Virology","J Gen Virol","All authors","New",0.099,102,547,43.876,0.021,-0.01,0.085,0.023,-0.008,0.089,0.507,0.607
"Medicine","J Occup Environ Med","All authors","New",-0.093,102,514,45.914,0.085,0.003,0.145,0.087,0.004,0.142,0.008,0.024
"Neoplasms","J Oncol Pract","All authors","New",NA,102,521,53.359,0.093,-0.004,0.087,0.095,0.004,0.09,0.004,0.014
"Psychiatry","JAMA Psychiatry","All authors","New",0.712,102,422,37.678,0.035,-0.023,0.094,0.038,-0.019,0.099,0.432,0.537
"Unclassified","JBJS Rev","All authors","New",NA,102,368,12.5,-0.016,-0.053,0.073,-0.009,-0.047,0.077,0.743,0.813
"Medicine","Pain Med","All authors","New",0.061,102,550,37.455,0.069,0.011,0.108,0.071,0.017,0.113,0.018,0.047
"Neoplasms","Tumori","All authors","New",-0.475,102,763,46.658,0.109,0.038,0.138,0.113,0.04,0.147,0,0
"Medicine","Wien Klin Wochenschr","All authors","New",NA,102,581,33.907,0.076,0.021,0.141,0.077,0.019,0.14,0.009,0.027
"Perinatology","Am J Perinatol","All authors","New",-0.072,101,529,51.985,0.05,0.012,0.13,0.053,0.014,0.137,0.115,0.195
"Medicine","Clujul Med","All authors","New",NA,101,399,58.647,0.096,0.015,0.203,0.098,0.028,0.203,0.031,0.072
"Otolaryngology","Ear Nose Throat","All authors","New",NA,101,356,26.124,0.105,-0.022,0.135,0.107,-0.013,0.142,0.023,0.057
"Cardiology","Heart Asia","All authors","New",NA,101,360,22.778,0.193,0.072,0.222,0.197,0.072,0.231,0,0
"Anti-Infective Agents","Int J Antimicrob Agents","All authors","New",0.167,101,566,40.989,0.133,0.07,0.201,0.134,0.074,0.209,0,0
"Zoology","J Anim Ecol","All authors","New",0.404,101,438,29.452,0.024,-0.05,0.104,0.028,-0.046,0.12,0.55,0.647
"Orthopedics","J Orthop Case Rep","All authors","New",NA,101,312,7.372,0.064,-0.062,0.181,0.078,-0.047,0.193,0.232,0.337
"Medicine","Metab Clin Exp","All authors","New",NA,101,575,43.826,0.109,0.03,0.143,0.11,0.034,0.144,0,0
"Anesthesiology","A A Case Rep","All authors","New",NA,100,373,31.367,-0.035,-0.091,0.024,-0.029,-0.084,0.03,0.464,0.567
"Biochemistry","Anal Biochem","All authors","New",-0.142,100,429,37.296,-0.045,-0.098,0.023,-0.042,-0.095,0.029,0.238,0.344
"Neurology","Arq Neuropsiquiatr","All authors","New",-0.453,100,496,37.5,0.205,0.103,0.247,0.206,0.102,0.25,0,0
"Neoplasms","Breast Cancer Res Treat","All authors","New",0.106,100,779,47.497,0.052,0.01,0.077,0.052,0.011,0.079,0.01,0.029
"Clinical Laboratory Techniques","Cold Spring Harb Protoc","All authors","New",NA,100,314,43.631,-0.088,-0.16,0.005,-0.084,-0.148,0.007,0.12,0.202
"Psychology","Conscious Cogn","All authors","New",NA,100,342,40.058,0.048,-0.038,0.134,0.049,-0.034,0.139,0.347,0.457
"Physiology","Conserv Physiol","All authors","New",NA,100,488,44.262,0.147,0.088,0.235,0.149,0.087,0.24,0,0
"Medicine","Dev Med Child Neurol","All authors","New",0.253,100,512,60.742,0.093,0.005,0.143,0.095,0.01,0.143,0.003,0.011
"Sports Medicine","Eur J Sport Sci","All authors","New",-0.094,100,435,25.057,0.138,0.011,0.192,0.144,0.025,0.199,0,0
"Pharmacology","J Nat Prod","All authors","New",0.122,100,602,38.372,0.077,0.02,0.136,0.078,0.02,0.138,0.002,0.008
"Neurology","Mol Neurobiol","All authors","New",0.307,100,539,44.341,0.135,0.034,0.159,0.135,0.037,0.158,0,0
"Pediatrics","Pediatr Pulmonol","All authors","New",0.272,100,552,48.188,0.049,0.001,0.097,0.052,0.004,0.097,0.094,0.167
"Psychology","Psychol Sci","All authors","New",NA,100,339,43.068,-0.034,-0.09,0.064,-0.03,-0.085,0.084,0.53,0.629
"Toxicology","Toxicol In Vitro","All authors","New",NA,100,592,51.014,0.096,0.008,0.124,0.098,0.006,0.123,0.001,0.004
"Cardiology","Cardiovasc Intervent Radiol","All authors","New",NA,99,558,21.147,0.029,-0.021,0.076,0.033,-0.017,0.084,0.36,0.468
"Environmental Health","Environ Manage","All authors","New",-0.135,99,401,40.648,0.06,-0.017,0.134,0.065,-0.017,0.129,0.167,0.262
"Orthopedics","Hip Int","All authors","New",-0.311,99,448,14.509,0.037,-0.005,0.12,0.041,0,0.122,0.317,0.426
"Endocrinology","Horm Behav","All authors","New",0.03,99,383,60.574,0.06,-0.019,0.117,0.06,-0.021,0.123,0.202,0.303
"Genetics","Infect Genet Evol","All authors","New",-0.068,99,655,47.328,0.103,0.038,0.146,0.105,0.039,0.146,0,0
"Pharmacology","Int J Clin Pharm","All authors","New",NA,99,430,52.326,0.045,-0.042,0.092,0.045,-0.039,0.096,0.258,0.363
"Medicine","J Biomed Mater Res","All authors","New",NA,99,482,36.722,0.016,-0.039,0.085,0.018,-0.034,0.086,0.642,0.726
"Medicine","J Cardiovasc Med (Hagerstown)","All authors","New",NA,99,842,30.641,0.038,-0.008,0.074,0.041,-0.009,0.077,0.034,0.077
"Anesthesiology","J Clin Anesth","All authors","New",-0.187,99,408,34.804,0.138,0.061,0.238,0.144,0.074,0.252,0,0
"Psychology","J Exp Psychol Learn Mem Cogn","All authors","New",NA,99,269,39.777,-0.099,-0.186,0.044,-0.092,-0.181,0.058,0.145,0.234
"Biochemistry","Meth Enzymol","All authors","New",NA,99,336,33.036,0.028,-0.061,0.085,0.03,-0.054,0.092,0.582,0.674
"Urology","World J Urol","All authors","New",0.123,99,678,16.224,0.039,0,0.081,0.04,0.002,0.08,0.085,0.155
"Orthodontics","Am J Orthod Dentofacial Orthop","All authors","New",NA,98,412,31.796,-0.003,-0.074,0.043,0.001,-0.07,0.044,0.953,0.969
"Dentistry","Clin Oral Investig","All authors","New",0.156,98,541,38.262,0.11,0.033,0.156,0.11,0.04,0.171,0,0
"Environmental Health","Ecol Appl","All authors","New",0.224,98,421,31.354,0.029,-0.049,0.077,0.033,-0.044,0.073,0.464,0.567
"Cardiology","Eur J Heart Fail","All authors","New",0.344,98,707,23.197,0.106,0.044,0.127,0.109,0.051,0.129,0,0
"Pediatrics","J Adolesc","All authors","New",NA,98,354,63.559,0.038,-0.045,0.094,0.044,-0.038,0.099,0.433,0.538
"Medicine","J Ayub Med Coll Abbottabad","All authors","New",NA,98,362,33.149,0.098,-0.017,0.19,0.104,-0.016,0.201,0.045,0.094
"Neoplasms","J Neurooncol","All authors","New",-0.065,98,661,32.98,0.085,0.016,0.102,0.088,0.02,0.106,0.001,0.004
"Neurology","J Neurosurg Spine","All authors","New",NA,98,521,16.891,0.041,-0.016,0.084,0.044,-0.009,0.087,0.214,0.316
"Medicine","J Zoo Wildl Med","All authors","New",-0.68,98,471,46.709,0.037,-0.028,0.096,0.04,-0.025,0.1,0.275,0.381
"Geriatrics","Maturitas","All authors","New",0.112,98,459,52.505,0.098,-0.009,0.12,0.105,0.001,0.123,0.005,0.017
"Multidisciplinary","Nanoscale Res Lett","All authors","New",NA,98,421,31.829,0.083,0.032,0.161,0.088,0.036,0.169,0.041,0.088
"Neurology","Neurol India","All authors","New",-0.276,98,341,20.528,0.151,0.053,0.298,0.155,0.062,0.311,0.007,0.022
"Cardiology","Pediatr Cardiol","All authors","New",-0.205,98,512,33.008,0.05,-0.008,0.108,0.051,-0.01,0.109,0.109,0.187
"Biochemistry","Acta Biochim Pol","All authors","New",-0.418,97,441,64.853,0.052,-0.029,0.125,0.055,-0.022,0.124,0.186,0.284
"Pharmacology","Biochem Pharmacol","All authors","New",0.265,97,491,43.992,-0.003,-0.03,0.074,0.001,-0.024,0.076,0.947,0.967
"Dentistry","Clin Implant Dent Relat Res","All authors","New",0.431,97,517,27.079,0.039,-0.013,0.083,0.042,-0.012,0.089,0.216,0.317
"Neoplasms","Eur J Cancer","All authors","New",0.285,97,746,38.874,0.101,0.031,0.126,0.104,0.032,0.13,0,0
"Neurology","Handb Clin Neurol","All authors","New",NA,97,245,29.796,-0.067,-0.188,0.069,-0.06,-0.178,0.084,0.369,0.478
"Substance-Related Disorders","Int J Drug Policy","All authors","New",NA,97,442,50.905,0.026,-0.017,0.116,0.031,-0.018,0.118,0.501,0.603
"Cardiology","J Heart Lung Transplant","All authors","New",0.509,97,695,29.928,0.049,-0.002,0.091,0.052,0.002,0.097,0.03,0.07
"Medicine","J Med Syst","All authors","New",NA,97,380,24.474,0.101,0.002,0.213,0.101,0.005,0.216,0.024,0.059
"Biotechnology","Nat Biotechnol","All authors","New",1.198,97,410,28.293,0.103,0.007,0.154,0.106,0.008,0.162,0.008,0.024
"Neurology","Nat Neurosci","All authors","New",0.799,97,437,28.604,0.036,0.002,0.111,0.04,0.004,0.111,0.376,0.484
"Public Health","Prev Chronic Dis","All authors","New",0.038,97,456,71.93,0.043,-0.028,0.074,0.045,-0.02,0.073,0.229,0.334
"Radiology","Acad Radiol","All authors","New",-0.024,96,451,33.925,0.157,0.013,0.173,0.159,0.02,0.186,0,0
"Cardiology","Am Heart J","All authors","New",NA,96,770,27.532,0.021,-0.008,0.052,0.023,-0.005,0.051,0.296,0.404
"Traumatology","Arch Orthop Trauma Surg","All authors","New",-0.053,96,516,11.822,0.078,-0.009,0.159,0.079,-0.002,0.158,0.014,0.039
"Medicine","Arch Pathol Lab Med","All authors","New",0.115,96,331,39.879,0.033,-0.052,0.078,0.036,-0.043,0.078,0.538,0.636
"Rheumatology","Arthritis Care Res (Hoboken)","All authors","New",NA,96,622,47.91,0.072,0.024,0.133,0.074,0.022,0.137,0.002,0.008
"Medicine","ChemMedChem","All authors","New",0.169,96,593,40.978,0.093,0.031,0.166,0.096,0.041,0.172,0,0
"Reproductive Medicine","Contraception","All authors","New",0.048,96,380,69.474,0.145,0.042,0.23,0.15,0.043,0.242,0.003,0.011
"Biotechnology","Curr Opin Biotechnol","All authors","New",0.483,96,268,29.104,0.162,0.046,0.309,0.166,0.044,0.321,0.019,0.049
"Genetics","Front Genet","All authors","New",NA,96,339,39.528,-0.01,-0.083,0.056,-0.008,-0.078,0.065,0.843,0.892
"Genetics","Hum Mol Genet","All authors","New",0.295,96,777,49.292,0.051,0.011,0.082,0.053,0.015,0.081,0.014,0.039
"Allergy and Immunology","Immunity","All authors","New",0.879,96,431,35.963,-0.051,-0.048,0.038,-0.052,-0.048,0.039,0.195,0.295
"Audiology","Int J Audiol","All authors","New",-0.094,96,365,53.699,0.005,-0.087,0.044,0.01,-0.079,0.045,0.925,0.953
"Epidemiology","J Epidemiol Community Health","All authors","New",0.082,96,446,48.655,0.081,-0.025,0.101,0.085,-0.021,0.103,0.028,0.066
"Medicine","J Med Entomol","All authors","New",-0.071,96,391,35.55,-0.011,-0.068,0.056,-0.005,-0.064,0.068,0.796,0.856
"Medicine","J Transl Med","All authors","New",0.263,96,782,48.082,0.047,0.003,0.099,0.049,0.006,0.101,0.017,0.045
"Pharmacology","Mar Drugs","All authors","New",0.083,96,487,42.3,0.095,0.021,0.142,0.1,0.029,0.146,0.004,0.014
"Microbiology","Microbiology (Reading Engl)","All authors","New",NA,96,444,45.495,0.007,-0.052,0.084,0.01,-0.05,0.088,0.838,0.889
"Physical and Rehabilitation Medicine","Phys Ther","All authors","New",0.177,96,429,56.41,0.112,0.023,0.18,0.115,0.023,0.184,0.004,0.014
"Health Services Research","Qual Health Res","All authors","New",NA,96,387,71.318,0.112,0.009,0.15,0.117,0.015,0.154,0.008,0.024
"Cardiology","Turk Kardiyol Dern Ars","All authors","New",NA,96,425,17.176,0.054,0.02,0.135,0.057,0.025,0.135,0.177,0.274
"Neurology","Eur Neuropsychopharmacol","All authors","New",0.22,95,586,41.126,0.04,-0.007,0.095,0.044,-0.006,0.103,0.132,0.218
"Unclassified","Healthcare (Basel)","All authors","New",NA,95,354,62.994,0.226,0.082,0.26,0.231,0.092,0.266,0,0
"Dermatology","J Cutan Pathol","All authors","New",-0.151,95,418,47.847,0.012,-0.035,0.092,0.014,-0.033,0.095,0.746,0.814
"Medicine","J Hosp Med","All authors","New",0.026,95,432,41.898,0.063,-0.003,0.119,0.065,-0.001,0.122,0.114,0.194
"General Surgery","J Surg Case Rep","All authors","New",NA,95,340,22.353,0.073,-0.036,0.148,0.077,-0.022,0.155,0.153,0.245
"Radiology","Skeletal Radiol","All authors","New",-0.134,95,419,32.22,0.03,-0.039,0.091,0.033,-0.032,0.097,0.448,0.553
"Toxicology","Toxicol Lett","All authors","New",0.159,95,538,44.238,0.075,-0.007,0.108,0.075,-0.004,0.111,0.005,0.017
"Virology","Virus Res","All authors","New",-0.002,95,432,46.296,-0.023,-0.053,0.05,-0.018,-0.045,0.057,0.563,0.658
"Medicine","Adv Clin Exp Med","All authors","New",-0.253,94,449,48.107,0.124,0.039,0.203,0.124,0.04,0.195,0,0
"Pathology","Am J Clin Pathol","All authors","New",0.033,94,441,46.712,0.065,-0.004,0.109,0.068,0.003,0.109,0.082,0.151
"General Surgery","Br J Oral Maxillofac Surg","All authors","New",-0.094,94,360,20.556,0.075,-0.005,0.146,0.079,0.005,0.15,0.114,0.194
"Neurology","Exp Neurol","All authors","New",0.243,94,427,43.56,0.123,0.039,0.207,0.125,0.049,0.209,0.001,0.004
"Pediatrics","J Neurosurg Pediatr","All authors","New",NA,94,479,29.019,0.059,-0.004,0.12,0.062,-0.003,0.112,0.092,0.164
"Neoplasms","J Thorac Oncol","All authors","New",0.197,94,589,35.993,0.048,-0.01,0.057,0.049,-0.009,0.06,0.067,0.129
"Unclassified","JMIR Res Protoc","All authors","New",NA,94,567,55.556,0.098,0.021,0.15,0.1,0.025,0.16,0,0
"Medicine","Med Sci (Paris)","All authors","New",NA,94,315,49.206,0.114,0.016,0.197,0.114,0.02,0.198,0.036,0.08
"Nursing","Nurse Educ Pract","All authors","New",-0.023,94,334,78.743,0,-0.065,0.098,0.005,-0.065,0.096,1,1
"Reproductive Medicine","Biol Reprod","All authors","New",0.143,93,470,48.298,0.002,-0.046,0.062,0.006,-0.045,0.064,0.962,0.975
"Allergy and Immunology","Cytokine","All authors","New",-0.035,93,513,46.589,0.061,-0.022,0.075,0.063,-0.021,0.076,0.046,0.095
"Unclassified","Electron Physician","All authors","New",NA,93,390,36.667,0.167,0.081,0.3,0.171,0.091,0.296,0,0
"Environmental Health","Environ Technol","All authors","New",-0.159,93,416,40.385,0.085,0.022,0.185,0.086,0.022,0.188,0.025,0.06
"Pharmacology","Expert Opin Drug Saf","All authors","New",0.02,93,318,34.591,-0.04,-0.117,0.055,-0.038,-0.115,0.056,0.454,0.558
"Biotechnology","Front Bioeng Biotechnol","All authors","New",NA,93,370,37.568,0.113,0.05,0.211,0.116,0.057,0.215,0.017,0.045
"Microbiology","Future Microbiol","All authors","New",0.109,93,370,48.378,0.038,-0.015,0.135,0.041,-0.013,0.136,0.406,0.512
"Public Health","Gac Sanit","All authors","New",-0.12,93,417,48.921,0.118,0.03,0.17,0.123,0.032,0.177,0.002,0.008
"Pediatrics","Indian Pediatr","All authors","New",NA,93,262,40.076,0.073,-0.048,0.185,0.076,-0.043,0.19,0.271,0.377
"Cell Biology","J Cell Biochem","All authors","New",-0.012,93,491,45.825,0.102,0.02,0.137,0.105,0.023,0.147,0.001,0.004
"Neurology","J Child Neurol","All authors","New",-0.268,93,472,57.415,0.095,0.03,0.167,0.099,0.035,0.171,0.004,0.014
"Urology","J Endourol","All authors","New",0.067,93,556,17.086,0.103,0.025,0.17,0.107,0.029,0.174,0.001,0.004
"Rheumatology","Joint Bone Spine","All authors","New",0.045,93,488,40.984,0.069,-0.005,0.096,0.074,0.002,0.1,0.043,0.091
"Orthopedics","Knee","All authors","New",-0.1,93,452,16.814,0.036,-0.012,0.09,0.042,-0.002,0.102,0.311,0.419
"Anesthesiology","Minerva Anestesiol","All authors","New",0.013,93,426,26.056,0.133,0.03,0.153,0.135,0.033,0.157,0.002,0.008
"Molecular Biology","Mol Biosyst","All authors","New",-0.06,93,447,35.794,0.115,0.044,0.171,0.118,0.047,0.166,0.001,0.004
