"journal","author_number","count","Discipline","percent"
"Arch Ital Urol Androl","5+",555,"Urology",61.7
"Arch Kriminol","1",45,"Unclassified",9.6
"Arch Kriminol","2",80,"Unclassified",17
"Arch Kriminol","3",140,"Unclassified",29.8
"Arch Kriminol","4",111,"Unclassified",23.6
"Arch Kriminol","5+",94,"Unclassified",20
"Arch Latinoam Nutr","1",32,"Nutritional Sciences",4.9
"Arch Latinoam Nutr","2",83,"Nutritional Sciences",12.6
"Arch Latinoam Nutr","3",147,"Nutritional Sciences",22.3
"Arch Latinoam Nutr","4",159,"Nutritional Sciences",24.1
"Arch Latinoam Nutr","5+",238,"Nutritional Sciences",36.1
"Arch Med Res","1",96,"Medicine",6.2
"Arch Med Res","2",148,"Medicine",9.5
"Arch Med Res","3",183,"Medicine",11.8
"Arch Med Res","4",201,"Medicine",13
"Arch Med Res","5+",924,"Medicine",59.5
"Arch Med Sadowej Kryminol","1",110,"Medicine",20.7
"Arch Med Sadowej Kryminol","2",103,"Medicine",19.4
"Arch Med Sadowej Kryminol","3",98,"Medicine",18.4
"Arch Med Sadowej Kryminol","4",106,"Medicine",19.9
"Arch Med Sadowej Kryminol","5+",115,"Medicine",21.6
"Arch Med Sci","1",25,"Medicine",2.1
"Arch Med Sci","2",86,"Medicine",7.4
"Arch Med Sci","3",155,"Medicine",13.3
"Arch Med Sci","4",173,"Medicine",14.9
"Arch Med Sci","5+",724,"Medicine",62.3
"Arch Microbiol","1",36,"Microbiology",2.3
"Arch Microbiol","2",186,"Microbiology",12
"Arch Microbiol","3",275,"Microbiology",17.7
"Arch Microbiol","4",316,"Microbiology",20.4
"Arch Microbiol","5+",739,"Microbiology",47.6
"Arch Neurol","1",389,"Neurology",12.5
"Arch Neurol","2",382,"Neurology",12.2
"Arch Neurol","3",332,"Neurology",10.6
"Arch Neurol","4",324,"Neurology",10.4
"Arch Neurol","5+",1696,"Neurology",54.3
"Arch Ophthalmol","1",467,"Ophthalmology",12.8
"Arch Ophthalmol","2",448,"Ophthalmology",12.3
"Arch Ophthalmol","3",572,"Ophthalmology",15.7
"Arch Ophthalmol","4",547,"Ophthalmology",15
"Arch Ophthalmol","5+",1618,"Ophthalmology",44.3
"Arch Oral Biol","1",41,"Dentistry",2.1
"Arch Oral Biol","2",137,"Dentistry",6.9
"Arch Oral Biol","3",299,"Dentistry",15
"Arch Oral Biol","4",344,"Dentistry",17.2
"Arch Oral Biol","5+",1176,"Dentistry",58.9
"Arch Orthop Trauma Surg","1",49,"Traumatology",2
"Arch Orthop Trauma Surg","2",158,"Traumatology",6.5
"Arch Orthop Trauma Surg","3",325,"Traumatology",13.3
"Arch Orthop Trauma Surg","4",436,"Traumatology",17.9
"Arch Orthop Trauma Surg","5+",1469,"Traumatology",60.3
"Arch Osteoporos","1",7,"Medicine",4
"Arch Osteoporos","2",16,"Medicine",9.2
"Arch Osteoporos","3",17,"Medicine",9.8
"Arch Osteoporos","4",28,"Medicine",16.1
"Arch Osteoporos","5+",106,"Medicine",60.9
"Arch Otolaryngol Head Neck Surg","1",212,"Otolaryngology",8.3
"Arch Otolaryngol Head Neck Surg","2",291,"Otolaryngology",11.4
"Arch Otolaryngol Head Neck Surg","3",451,"Otolaryngology",17.7
"Arch Otolaryngol Head Neck Surg","4",505,"Otolaryngology",19.8
"Arch Otolaryngol Head Neck Surg","5+",1093,"Otolaryngology",42.8
"Arch Pathol Lab Med","1",587,"Medicine",14.3
"Arch Pathol Lab Med","2",940,"Medicine",22.8
"Arch Pathol Lab Med","3",774,"Medicine",18.8
"Arch Pathol Lab Med","4",626,"Medicine",15.2
"Arch Pathol Lab Med","5+",1190,"Medicine",28.9
"Arch Pediatr Adolesc Med","1",411,"Medicine",17.7
"Arch Pediatr Adolesc Med","2",318,"Medicine",13.7
"Arch Pediatr Adolesc Med","3",339,"Medicine",14.6
"Arch Pediatr Adolesc Med","4",332,"Medicine",14.3
"Arch Pediatr Adolesc Med","5+",916,"Medicine",39.6
"Arch Pharm (Weinheim)","1",33,"Pharmacology",2.8
"Arch Pharm (Weinheim)","2",103,"Pharmacology",8.8
"Arch Pharm (Weinheim)","3",149,"Pharmacology",12.8
"Arch Pharm (Weinheim)","4",225,"Pharmacology",19.3
"Arch Pharm (Weinheim)","5+",654,"Pharmacology",56.2
"Arch Pharm Res","1",129,"Pharmacology",4.1
"Arch Pharm Res","2",327,"Pharmacology",10.5
"Arch Pharm Res","3",345,"Pharmacology",11.1
"Arch Pharm Res","4",410,"Pharmacology",13.2
"Arch Pharm Res","5+",1906,"Pharmacology",61.1
"Arch Phys Med Rehabil","1",244,"Medicine",5
"Arch Phys Med Rehabil","2",499,"Medicine",10.2
"Arch Phys Med Rehabil","3",780,"Medicine",15.9
"Arch Phys Med Rehabil","4",901,"Medicine",18.4
"Arch Phys Med Rehabil","5+",2474,"Medicine",50.5
"Arch Physiol Biochem","1",26,"Physiology",8.7
"Arch Physiol Biochem","2",45,"Physiology",15.1
"Arch Physiol Biochem","3",42,"Physiology",14.1
"Arch Physiol Biochem","4",46,"Physiology",15.4
"Arch Physiol Biochem","5+",139,"Physiology",46.6
"Arch Plast Surg","1",65,"General Surgery",9.2
"Arch Plast Surg","2",70,"General Surgery",9.9
"Arch Plast Surg","3",130,"General Surgery",18.3
"Arch Plast Surg","4",152,"General Surgery",21.4
"Arch Plast Surg","5+",292,"General Surgery",41.2
"Arch Psychiatr Nurs","1",237,"Psychiatry",28.8
"Arch Psychiatr Nurs","2",201,"Psychiatry",24.4
"Arch Psychiatr Nurs","3",143,"Psychiatry",17.4
"Arch Psychiatr Nurs","4",108,"Psychiatry",13.1
"Arch Psychiatr Nurs","5+",135,"Psychiatry",16.4
"Arch Public Health","1",11,"Public Health",5.4
"Arch Public Health","2",22,"Public Health",10.8
"Arch Public Health","3",39,"Public Health",19.2
"Arch Public Health","4",31,"Public Health",15.3
"Arch Public Health","5+",100,"Public Health",49.3
"Arch Sex Behav","1",394,"Psychology",22.4
"Arch Sex Behav","2",395,"Psychology",22.4
"Arch Sex Behav","3",329,"Psychology",18.7
"Arch Sex Behav","4",225,"Psychology",12.8
"Arch Sex Behav","5+",419,"Psychology",23.8
"Arch Suicide Res","1",51,"Behavioral Sciences",11.5
"Arch Suicide Res","2",89,"Behavioral Sciences",20
"Arch Suicide Res","3",89,"Behavioral Sciences",20
"Arch Suicide Res","4",78,"Behavioral Sciences",17.5
"Arch Suicide Res","5+",138,"Behavioral Sciences",31
"Arch Surg","1",496,"General Surgery",18.8
"Arch Surg","2",313,"General Surgery",11.9
"Arch Surg","3",315,"General Surgery",11.9
"Arch Surg","4",330,"General Surgery",12.5
"Arch Surg","5+",1186,"General Surgery",44.9
"Arch Toxicol","1",99,"Toxicology",5.5
"Arch Toxicol","2",169,"Toxicology",9.5
"Arch Toxicol","3",225,"Toxicology",12.6
"Arch Toxicol","4",240,"Toxicology",13.4
"Arch Toxicol","5+",1053,"Toxicology",59
"Arch Trauma Res","1",32,"Traumatology",18.2
"Arch Trauma Res","2",20,"Traumatology",11.4
"Arch Trauma Res","3",34,"Traumatology",19.3
"Arch Trauma Res","4",33,"Traumatology",18.8
"Arch Trauma Res","5+",57,"Traumatology",32.4
"Arch Virol","1",35,"Virology",1.3
"Arch Virol","2",164,"Virology",6
"Arch Virol","3",247,"Virology",9.1
"Arch Virol","4",350,"Virology",12.9
"Arch Virol","5+",1924,"Virology",70.7
"Arch Womens Ment Health","1",33,"Psychology",5.9
"Arch Womens Ment Health","2",46,"Psychology",8.3
"Arch Womens Ment Health","3",114,"Psychology",20.5
"Arch Womens Ment Health","4",104,"Psychology",18.7
"Arch Womens Ment Health","5+",259,"Psychology",46.6
"Archaea","1",12,"Microbiology",5.9
"Archaea","2",41,"Microbiology",20.2
"Archaea","3",41,"Microbiology",20.2
"Archaea","4",35,"Microbiology",17.2
"Archaea","5+",74,"Microbiology",36.5
"Archit Rec","1",118,"Unclassified",99.2
"Archit Rec","2",1,"Unclassified",0.8
"Archit Rec","3",0,"Unclassified",0
"Archit Rec","4",0,"Unclassified",0
"Archit Rec","5+",0,"Unclassified",0
"Arerugi","1",382,"Allergy and Immunology",41.1
"Arerugi","2",90,"Allergy and Immunology",9.7
"Arerugi","3",73,"Allergy and Immunology",7.8
"Arerugi","4",83,"Allergy and Immunology",8.9
"Arerugi","5+",302,"Allergy and Immunology",32.5
"Arh Hig Rada Toksikol","1",90,"Occupational Medicine",14.2
"Arh Hig Rada Toksikol","2",120,"Occupational Medicine",18.9
"Arh Hig Rada Toksikol","3",127,"Occupational Medicine",20
"Arh Hig Rada Toksikol","4",109,"Occupational Medicine",17.2
"Arh Hig Rada Toksikol","5+",189,"Occupational Medicine",29.8
"Arkh Anat Gistol Embriol","1",225,"Anatomy",37.9
"Arkh Anat Gistol Embriol","2",152,"Anatomy",25.6
"Arkh Anat Gistol Embriol","3",108,"Anatomy",18.2
"Arkh Anat Gistol Embriol","4",66,"Anatomy",11.1
"Arkh Anat Gistol Embriol","5+",42,"Anatomy",7.1
"Arkh Patol","1",205,"Pathology",20.8
"Arkh Patol","2",238,"Pathology",24.1
"Arkh Patol","3",220,"Pathology",22.3
"Arkh Patol","4",137,"Pathology",13.9
"Arkh Patol","5+",187,"Pathology",18.9
"Arq Bras Cardiol","1",279,"Cardiology",9.2
"Arq Bras Cardiol","2",305,"Cardiology",10.1
"Arq Bras Cardiol","3",387,"Cardiology",12.8
"Arq Bras Cardiol","4",374,"Cardiology",12.3
"Arq Bras Cardiol","5+",1687,"Cardiology",55.6
"Arq Bras Cir Dig","1",23,"General Surgery",5.6
"Arq Bras Cir Dig","2",28,"General Surgery",6.8
"Arq Bras Cir Dig","3",65,"General Surgery",15.7
"Arq Bras Cir Dig","4",53,"General Surgery",12.8
"Arq Bras Cir Dig","5+",244,"General Surgery",59.1
"Arq Bras Endocrinol Metabol","1",163,"Metabolism",10.3
"Arq Bras Endocrinol Metabol","2",209,"Metabolism",13.3
"Arq Bras Endocrinol Metabol","3",214,"Metabolism",13.6
"Arq Bras Endocrinol Metabol","4",221,"Metabolism",14
"Arq Bras Endocrinol Metabol","5+",770,"Metabolism",48.8
"Arq Bras Oftalmol","1",79,"Ophthalmology",5.1
"Arq Bras Oftalmol","2",149,"Ophthalmology",9.7
"Arq Bras Oftalmol","3",269,"Ophthalmology",17.5
"Arq Bras Oftalmol","4",309,"Ophthalmology",20.1
"Arq Bras Oftalmol","5+",735,"Ophthalmology",47.7
"Arq Gastroenterol","1",60,"Gastroenterology",6.9
"Arq Gastroenterol","2",71,"Gastroenterology",8.2
"Arq Gastroenterol","3",145,"Gastroenterology",16.8
"Arq Gastroenterol","4",124,"Gastroenterology",14.4
"Arq Gastroenterol","5+",464,"Gastroenterology",53.7
"Arq Neuropsiquiatr","1",222,"Neurology",6.9
"Arq Neuropsiquiatr","2",348,"Neurology",10.8
"Arq Neuropsiquiatr","3",441,"Neurology",13.6
"Arq Neuropsiquiatr","4",548,"Neurology",16.9
"Arq Neuropsiquiatr","5+",1676,"Neurology",51.8
"Arrhythm Electrophysiol Rev","1",22,"Unclassified",19.1
"Arrhythm Electrophysiol Rev","2",36,"Unclassified",31.3
"Arrhythm Electrophysiol Rev","3",27,"Unclassified",23.5
"Arrhythm Electrophysiol Rev","4",10,"Unclassified",8.7
"Arrhythm Electrophysiol Rev","5+",20,"Unclassified",17.4
"Arterioscler Thromb Vasc Biol","1",347,"Vascular Diseases",6.2
"Arterioscler Thromb Vasc Biol","2",518,"Vascular Diseases",9.3
"Arterioscler Thromb Vasc Biol","3",409,"Vascular Diseases",7.3
"Arterioscler Thromb Vasc Biol","4",358,"Vascular Diseases",6.4
"Arterioscler Thromb Vasc Biol","5+",3946,"Vascular Diseases",70.7
"Arthritis","1",1,"Unclassified",0.9
"Arthritis","2",12,"Unclassified",11.3
"Arthritis","3",20,"Unclassified",18.9
"Arthritis","4",17,"Unclassified",16
"Arthritis","5+",56,"Unclassified",52.8
"Arthritis Care Res (Hoboken)","1",83,"Rheumatology",5
"Arthritis Care Res (Hoboken)","2",93,"Rheumatology",5.6
"Arthritis Care Res (Hoboken)","3",143,"Rheumatology",8.6
"Arthritis Care Res (Hoboken)","4",200,"Rheumatology",12.1
"Arthritis Care Res (Hoboken)","5+",1135,"Rheumatology",68.6
"Arthritis Res Ther","1",256,"Rheumatology",7.4
"Arthritis Res Ther","2",358,"Rheumatology",10.4
"Arthritis Res Ther","3",258,"Rheumatology",7.5
"Arthritis Res Ther","4",280,"Rheumatology",8.1
"Arthritis Res Ther","5+",2298,"Rheumatology",66.6
"Arthritis Rheum","1",491,"Rheumatology",7
"Arthritis Rheum","2",499,"Rheumatology",7.1
"Arthritis Rheum","3",614,"Rheumatology",8.8
"Arthritis Rheum","4",692,"Rheumatology",9.9
"Arthritis Rheum","5+",4710,"Rheumatology",67.2
"Arthropod Struct Dev","1",63,"Zoology",11.9
"Arthropod Struct Dev","2",152,"Zoology",28.7
"Arthropod Struct Dev","3",134,"Zoology",25.3
"Arthropod Struct Dev","4",87,"Zoology",16.4
"Arthropod Struct Dev","5+",93,"Zoology",17.6
"Arthrosc Tech","1",48,"Unclassified",9.5
"Arthrosc Tech","2",91,"Unclassified",18.1
"Arthrosc Tech","3",104,"Unclassified",20.6
"Arthrosc Tech","4",107,"Unclassified",21.2
"Arthrosc Tech","5+",154,"Unclassified",30.6
"Arthroscopy","1",403,"Orthopedics",9.9
"Arthroscopy","2",544,"Orthopedics",13.3
"Arthroscopy","3",706,"Orthopedics",17.3
"Arthroscopy","4",707,"Orthopedics",17.3
"Arthroscopy","5+",1719,"Orthopedics",42.1
"Artif Cells Blood Substit Immobil Biotechnol","1",35,"Biotechnology",8.1
"Artif Cells Blood Substit Immobil Biotechnol","2",68,"Biotechnology",15.7
"Artif Cells Blood Substit Immobil Biotechnol","3",64,"Biotechnology",14.8
"Artif Cells Blood Substit Immobil Biotechnol","4",89,"Biotechnology",20.6
"Artif Cells Blood Substit Immobil Biotechnol","5+",177,"Biotechnology",40.9
"Artif Cells Nanomed Biotechnol","1",15,"Biotechnology",4
"Artif Cells Nanomed Biotechnol","2",48,"Biotechnology",12.9
"Artif Cells Nanomed Biotechnol","3",45,"Biotechnology",12.1
"Artif Cells Nanomed Biotechnol","4",75,"Biotechnology",20.1
"Artif Cells Nanomed Biotechnol","5+",190,"Biotechnology",50.9
"Artif Intell Med","1",52,"Medicine",6.8
"Artif Intell Med","2",135,"Medicine",17.7
"Artif Intell Med","3",162,"Medicine",21.3
"Artif Intell Med","4",145,"Medicine",19.1
"Artif Intell Med","5+",267,"Medicine",35.1
"Artif Life","1",101,"Biology",27.7
"Artif Life","2",113,"Biology",31
"Artif Life","3",71,"Biology",19.5
"Artif Life","4",39,"Biology",10.7
"Artif Life","5+",41,"Biology",11.2
"Artif Organs","1",243,"Transplantation",9.9
"Artif Organs","2",173,"Transplantation",7.1
"Artif Organs","3",235,"Transplantation",9.6
"Artif Organs","4",289,"Transplantation",11.8
"Artif Organs","5+",1503,"Transplantation",61.5
"ARYA Atheroscler","1",10,"Unclassified",3.4
"ARYA Atheroscler","2",27,"Unclassified",9.3
"ARYA Atheroscler","3",36,"Unclassified",12.4
"ARYA Atheroscler","4",52,"Unclassified",17.9
"ARYA Atheroscler","5+",166,"Unclassified",57
"Arzneimittelforschung","1",48,"Pharmacology",4.5
"Arzneimittelforschung","2",78,"Pharmacology",7.3
"Arzneimittelforschung","3",152,"Pharmacology",14.1
"Arzneimittelforschung","4",190,"Pharmacology",17.7
"Arzneimittelforschung","5+",607,"Pharmacology",56.5
"ASAIO J","1",96,"Unclassified",5.5
"ASAIO J","2",103,"Unclassified",5.9
"ASAIO J","3",171,"Unclassified",9.7
"ASAIO J","4",192,"Unclassified",10.9
"ASAIO J","5+",1195,"Unclassified",68
"Asia Pac Allergy","1",42,"Unclassified",19.5
"Asia Pac Allergy","2",33,"Unclassified",15.3
"Asia Pac Allergy","3",35,"Unclassified",16.3
"Asia Pac Allergy","4",22,"Unclassified",10.2
"Asia Pac Allergy","5+",83,"Unclassified",38.6
"Asia Pac J Clin Nutr","1",161,"Nutritional Sciences",11
"Asia Pac J Clin Nutr","2",187,"Nutritional Sciences",12.8
"Asia Pac J Clin Nutr","3",217,"Nutritional Sciences",14.9
"Asia Pac J Clin Nutr","4",227,"Nutritional Sciences",15.6
"Asia Pac J Clin Nutr","5+",666,"Nutritional Sciences",45.7
"Asia Pac J Clin Oncol","1",26,"Neoplasms",5.9
"Asia Pac J Clin Oncol","2",46,"Neoplasms",10.4
"Asia Pac J Clin Oncol","3",56,"Neoplasms",12.6
"Asia Pac J Clin Oncol","4",48,"Neoplasms",10.8
"Asia Pac J Clin Oncol","5+",268,"Neoplasms",60.4
"Asia Pac J Ophthalmol (Phila)","1",66,"Ophthalmology",17
"Asia Pac J Ophthalmol (Phila)","2",83,"Ophthalmology",21.3
"Asia Pac J Ophthalmol (Phila)","3",72,"Ophthalmology",18.5
"Asia Pac J Ophthalmol (Phila)","4",63,"Ophthalmology",16.2
"Asia Pac J Ophthalmol (Phila)","5+",105,"Ophthalmology",27
"Asia Pac J Public Health","1",119,"Public Health",11.5
"Asia Pac J Public Health","2",197,"Public Health",19.1
"Asia Pac J Public Health","3",170,"Public Health",16.4
"Asia Pac J Public Health","4",132,"Public Health",12.8
"Asia Pac J Public Health","5+",416,"Public Health",40.2
"Asia Pac Psychiatry","1",11,"Psychiatry",4.7
"Asia Pac Psychiatry","2",17,"Psychiatry",7.2
"Asia Pac Psychiatry","3",35,"Psychiatry",14.8
"Asia Pac Psychiatry","4",36,"Psychiatry",15.3
"Asia Pac Psychiatry","5+",137,"Psychiatry",58.1
"Asian Cardiovasc Thorac Ann","1",109,"Cardiology",4.6
"Asian Cardiovasc Thorac Ann","2",195,"Cardiology",8.2
"Asian Cardiovasc Thorac Ann","3",463,"Cardiology",19.6
"Asian Cardiovasc Thorac Ann","4",467,"Cardiology",19.7
"Asian Cardiovasc Thorac Ann","5+",1134,"Cardiology",47.9
"Asian J Androl","1",230,"Medicine",12.6
"Asian J Androl","2",284,"Medicine",15.6
"Asian J Androl","3",244,"Medicine",13.4
"Asian J Androl","4",217,"Medicine",11.9
"Asian J Androl","5+",848,"Medicine",46.5
"Asian J Endosc Surg","1",11,"General Surgery",3.7
"Asian J Endosc Surg","2",16,"General Surgery",5.4
"Asian J Endosc Surg","3",32,"General Surgery",10.8
"Asian J Endosc Surg","4",23,"General Surgery",7.7
"Asian J Endosc Surg","5+",215,"General Surgery",72.4
"Asian J Neurosurg","1",28,"Neurology",6.5
"Asian J Neurosurg","2",44,"Neurology",10.3
"Asian J Neurosurg","3",85,"Neurology",19.8
"Asian J Neurosurg","4",105,"Neurology",24.5
"Asian J Neurosurg","5+",167,"Neurology",38.9
"Asian J Psychiatr","1",157,"Psychiatry",19.8
"Asian J Psychiatr","2",169,"Psychiatry",21.3
"Asian J Psychiatr","3",132,"Psychiatry",16.6
"Asian J Psychiatr","4",102,"Psychiatry",12.9
"Asian J Psychiatr","5+",233,"Psychiatry",29.4
"Asian J Sports Med","1",15,"Medicine",5.7
"Asian J Sports Med","2",35,"Medicine",13.3
"Asian J Sports Med","3",50,"Medicine",19
"Asian J Sports Med","4",55,"Medicine",20.9
"Asian J Sports Med","5+",108,"Medicine",41.1
"Asian J Surg","1",42,"General Surgery",6
"Asian J Surg","2",91,"General Surgery",12.9
"Asian J Surg","3",108,"General Surgery",15.4
"Asian J Surg","4",123,"General Surgery",17.5
"Asian J Surg","5+",339,"General Surgery",48.2
"Asian J Transfus Sci","1",38,"Unclassified",11.1
"Asian J Transfus Sci","2",59,"Unclassified",17.3
"Asian J Transfus Sci","3",71,"Unclassified",20.8
"Asian J Transfus Sci","4",76,"Unclassified",22.2
"Asian J Transfus Sci","5+",98,"Unclassified",28.7
"Asian Nurs Res (Korean Soc Nurs Sci)","1",40,"Nursing",14
"Asian Nurs Res (Korean Soc Nurs Sci)","2",96,"Nursing",33.6
"Asian Nurs Res (Korean Soc Nurs Sci)","3",62,"Nursing",21.7
"Asian Nurs Res (Korean Soc Nurs Sci)","4",38,"Nursing",13.3
"Asian Nurs Res (Korean Soc Nurs Sci)","5+",50,"Nursing",17.5
"Asian Pac J Allergy Immunol","1",30,"Immunology",5.3
"Asian Pac J Allergy Immunol","2",41,"Immunology",7.2
"Asian Pac J Allergy Immunol","3",72,"Immunology",12.6
"Asian Pac J Allergy Immunol","4",87,"Immunology",15.2
"Asian Pac J Allergy Immunol","5+",341,"Immunology",59.7
"Asian Pac J Cancer Prev","1",326,"Neoplasms",4
"Asian Pac J Cancer Prev","2",611,"Neoplasms",7.6
"Asian Pac J Cancer Prev","3",939,"Neoplasms",11.6
"Asian Pac J Cancer Prev","4",1205,"Neoplasms",14.9
"Asian Pac J Cancer Prev","5+",5003,"Neoplasms",61.9
"Asian Pac J Trop Biomed","1",32,"Medicine",5.3
"Asian Pac J Trop Biomed","2",97,"Medicine",16.1
"Asian Pac J Trop Biomed","3",106,"Medicine",17.6
"Asian Pac J Trop Biomed","4",129,"Medicine",21.5
"Asian Pac J Trop Biomed","5+",237,"Medicine",39.4
"Asian Pac J Trop Med","1",29,"Medicine",2.5
"Asian Pac J Trop Med","2",130,"Medicine",11.3
"Asian Pac J Trop Med","3",198,"Medicine",17.3
"Asian Pac J Trop Med","4",212,"Medicine",18.5
"Asian Pac J Trop Med","5+",577,"Medicine",50.3
"Asian Spine","1",38,"Unclassified",6.2
"Asian Spine","2",60,"Unclassified",9.8
"Asian Spine","3",95,"Unclassified",15.4
"Asian Spine","4",115,"Unclassified",18.7
"Asian Spine","5+",307,"Unclassified",49.9
"Asian-australas J Anim Sci","1",9,"Unclassified",1.5
"Asian-australas J Anim Sci","2",37,"Unclassified",6.1
"Asian-australas J Anim Sci","3",64,"Unclassified",10.6
"Asian-australas J Anim Sci","4",101,"Unclassified",16.7
"Asian-australas J Anim Sci","5+",392,"Unclassified",65
"ASN Neuro","1",4,"Neurology",1.9
"ASN Neuro","2",24,"Neurology",11.4
"ASN Neuro","3",30,"Neurology",14.2
"ASN Neuro","4",40,"Neurology",19
"ASN Neuro","5+",113,"Neurology",53.6
"Assay Drug Dev Technol","1",77,"Pharmacology",10.4
"Assay Drug Dev Technol","2",76,"Pharmacology",10.3
"Assay Drug Dev Technol","3",75,"Pharmacology",10.1
"Assay Drug Dev Technol","4",93,"Pharmacology",12.6
"Assay Drug Dev Technol","5+",420,"Pharmacology",56.7
"Assessment","1",35,"Psychology",5.3
"Assessment","2",107,"Psychology",16.1
"Assessment","3",175,"Psychology",26.4
"Assessment","4",145,"Psychology",21.9
"Assessment","5+",201,"Psychology",30.3
"Assist Inferm Ric","1",130,"Nursing",31.6
"Assist Inferm Ric","2",65,"Nursing",15.8
"Assist Inferm Ric","3",56,"Nursing",13.6
"Assist Inferm Ric","4",49,"Nursing",11.9
"Assist Inferm Ric","5+",112,"Nursing",27.2
"Assist Technol","1",21,"Unclassified",7.3
"Assist Technol","2",68,"Unclassified",23.8
"Assist Technol","3",58,"Unclassified",20.3
"Assist Technol","4",61,"Unclassified",21.3
"Assist Technol","5+",78,"Unclassified",27.3
"Astrobiology","1",142,"Biology",16.1
"Astrobiology","2",164,"Biology",18.6
"Astrobiology","3",121,"Biology",13.7
"Astrobiology","4",114,"Biology",12.9
"Astrobiology","5+",340,"Biology",38.6
"Aten Primaria","1",306,"Primary Health Care",17.5
"Aten Primaria","2",237,"Primary Health Care",13.6
"Aten Primaria","3",242,"Primary Health Care",13.9
"Aten Primaria","4",399,"Primary Health Care",22.9
"Aten Primaria","5+",562,"Primary Health Care",32.2
"Atheroscler Suppl","1",95,"Vascular Diseases",42.4
"Atheroscler Suppl","2",33,"Vascular Diseases",14.7
"Atheroscler Suppl","3",25,"Vascular Diseases",11.2
"Atheroscler Suppl","4",21,"Vascular Diseases",9.4
"Atheroscler Suppl","5+",50,"Vascular Diseases",22.3
"Atherosclerosis","1",225,"Vascular Diseases",3.6
"Atherosclerosis","2",271,"Vascular Diseases",4.3
"Atherosclerosis","3",401,"Vascular Diseases",6.4
"Atherosclerosis","4",536,"Vascular Diseases",8.5
"Atherosclerosis","5+",4867,"Vascular Diseases",77.3
"Atlas Oral Maxillofac Surg Clin North Am","1",92,"General Surgery",34.8
"Atlas Oral Maxillofac Surg Clin North Am","2",112,"General Surgery",42.4
"Atlas Oral Maxillofac Surg Clin North Am","3",39,"General Surgery",14.8
"Atlas Oral Maxillofac Surg Clin North Am","4",15,"General Surgery",5.7
"Atlas Oral Maxillofac Surg Clin North Am","5+",6,"General Surgery",2.3
"Attach Hum Dev","1",80,"Unclassified",17.9
"Attach Hum Dev","2",85,"Unclassified",19.1
"Attach Hum Dev","3",109,"Unclassified",24.4
"Attach Hum Dev","4",83,"Unclassified",18.6
"Attach Hum Dev","5+",89,"Unclassified",20
"Atten Defic Hyperact Disord","1",13,"Psychiatry",7.6
"Atten Defic Hyperact Disord","2",25,"Psychiatry",14.7
"Atten Defic Hyperact Disord","3",23,"Psychiatry",13.5
"Atten Defic Hyperact Disord","4",32,"Psychiatry",18.8
"Atten Defic Hyperact Disord","5+",77,"Psychiatry",45.3
"Atten Percept Psychophys","1",108,"Unclassified",7.7
"Atten Percept Psychophys","2",527,"Unclassified",37.6
"Atten Percept Psychophys","3",417,"Unclassified",29.7
"Atten Percept Psychophys","4",211,"Unclassified",15
"Atten Percept Psychophys","5+",139,"Unclassified",9.9
"Audiol Neurootol","1",26,"Neurology",4.4
"Audiol Neurootol","2",53,"Neurology",8.9
"Audiol Neurootol","3",107,"Neurology",17.9
"Audiol Neurootol","4",88,"Neurology",14.7
"Audiol Neurootol","5+",323,"Neurology",54.1
"Augment Altern Commun","1",17,"Speech-Language Pathology",6.2
"Augment Altern Commun","2",88,"Speech-Language Pathology",32.4
"Augment Altern Commun","3",71,"Speech-Language Pathology",26.1
"Augment Altern Commun","4",46,"Speech-Language Pathology",16.9
"Augment Altern Commun","5+",50,"Speech-Language Pathology",18.4
"Auris Nasus Larynx","1",28,"Otolaryngology",1.8
"Auris Nasus Larynx","2",82,"Otolaryngology",5.2
"Auris Nasus Larynx","3",207,"Otolaryngology",13
"Auris Nasus Larynx","4",313,"Otolaryngology",19.7
"Auris Nasus Larynx","5+",961,"Otolaryngology",60.4
"Aust Crit Care","1",131,"Critical Care",34.5
"Aust Crit Care","2",72,"Critical Care",18.9
"Aust Crit Care","3",58,"Critical Care",15.3
"Aust Crit Care","4",41,"Critical Care",10.8
"Aust Crit Care","5+",78,"Critical Care",20.5
"Aust Endod","1",104,"Dentistry",30.2
"Aust Endod","2",37,"Dentistry",10.8
"Aust Endod","3",58,"Dentistry",16.9
"Aust Endod","4",62,"Dentistry",18
"Aust Endod","5+",83,"Dentistry",24.1
"Aust Fam Physician","1",1412,"Primary Health Care",42.5
"Aust Fam Physician","2",772,"Primary Health Care",23.2
"Aust Fam Physician","3",566,"Primary Health Care",17
"Aust Fam Physician","4",301,"Primary Health Care",9.1
"Aust Fam Physician","5+",273,"Primary Health Care",8.2
"Aust Health Rev","1",267,"Medicine",20.9
"Aust Health Rev","2",239,"Medicine",18.7
"Aust Health Rev","3",264,"Medicine",20.7
"Aust Health Rev","4",208,"Medicine",16.3
"Aust Health Rev","5+",299,"Medicine",23.4
"Aust J Adv Nurs","1",32,"Nursing",24.6
"Aust J Adv Nurs","2",42,"Nursing",32.3
"Aust J Adv Nurs","3",20,"Nursing",15.4
"Aust J Adv Nurs","4",17,"Nursing",13.1
"Aust J Adv Nurs","5+",19,"Nursing",14.6
"Aust J Physiother","1",183,"Physical and Rehabilitation Medicine",41.6
"Aust J Physiother","2",80,"Physical and Rehabilitation Medicine",18.2
